Repository,EVENT_DATE,NEAREST_PL,INFO_SOURC,IMPACTS,DAMAGE_DES,LAT,LONG,GlobalID,PHOTO_CRED,Acres,FireName,StartYear,StartMonth,StartDay,StartDate,RainGauge,Station ID,LAT_Rg,LON_Rg,Distance_km,FireMap_ID,Storm_StartDate,Storm_Duration,Storm_Accum,Storm_AvgIntensity,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_Date,Peak_I30_Date,Peak_I60_Date,CummRain_24h,CummRain_48h,Certainty,reg_datetime_t1,eccentricity,area_km,speed_km_h,PSmean_dbz,PSmin_dbz,PSmax_dbz,reflect_pfdf,maxfiredbz_peak15,direction,percentile_dbzval,percentile_firemax,Season,fract10-15,fract15-20,fract20-25,fract25-30,fract30-35,fract35-40,fract40-45,fract45-50,fract50-55,fract55-60,fract60-65,fract65-70,fract>70
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",8/13/22,"""Dry Creek"" east of Little San Gorgonio Creek, Oak Glen area","Brian Swanson, California Geological Survey",,Observation from USGS inventory,34.052442,-116.915166,,,33424,Apple,2020,7,31,7/31/20,YucaipaRidge,2900,34.06265,-116.893,2.8,10021134,8/13/22 12:18,1.833333333,57.912,31.58836364,64.008,55.88,42.926,8/13/22 13:10,8/13/22 13:10,8/13/22 13:17,1.016,1.016,Certain,8/13/22 20:10,0.69010001,698.9820473,7.770582861,29.96145374,20,58,44,54.5,149.6263416,73.91304348,73.91304348,Spring/Summer,0.054347826,0.076086957,0.027173913,0.063405797,0.097826087,0.101449275,0.152173913,0.197463768,0.059782609,0.001811594,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",9/12/22,"Gilman Canyon (tributary to San Gorginio River, Banning Canyon)","Brian Swanson, California Geological Survey",,Observation from USGS inventory,34.031818,-116.887083,,,33424,Apple,2020,7,31,7/31/20,YucaipaRidge,2900,34.06265,-116.893,4.1,10021134,9/12/22 13:28,6.016666667,45.974,7.641108033,64.008,44.196,29.972,9/12/22 13:43,9/12/22 13:57,9/12/22 14:26,2.032,2.032,Certain,9/12/22 20:45,0.900958851,957.6361969,192.0231094,32.33954984,20,55,18.5,55,253.3217906,13.15789474,69.04761905,Spring/Summer,0.052238806,0.074626866,0.194029851,0.134328358,0.156716418,0.141791045,0.134328358,0,0,0,0,0,0
NASA Global Landslide Catalog,12/14/21,Monrovia Canyon Park,CBS Los Angeles,Multiple,"A debris flow caused an estimated $10 million in damage to Monrovia Canyon Park.  Major damage to roads, utility systems, parking area, trails, and facilities,",34.1729,-117.991139,https://www.cbsnews.com/losangeles/news/residents-in-bobcat-fire-burn-scar-area-brace-for-potential-mud-flows/,,115998,Bobcat,2020,9,6,9/6/20,BigDalton,BDWC1,34.15806,-117.96306,3.6,10020990,12/14/21 0:45,23,52.578,2.286,21.336,13.716,8.382,12/14/21 10:30,12/14/21 10:45,12/14/21 8:30,0.254,0.254,Certain,12/14/21 18:30,0.911154931,15582.37291,145.0751845,28.61584824,20,57,31.5,40,277.7875402,68.80733945,54.79452055,Fall/Winter,0,0,0.007197481,0.689608637,0.300494827,0.002699055,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",3/10/21,"Intersection of Silverado Canyon Road and Olive Drive, Silverado, CA",California Geological Survey,Multiple,A debris flow damaged a vehicle and covered Olive Drive in mud and debris.,33.7462,-117.627074,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/245/attachments/390,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Silverado_March,IVLC1,33.7433,-117.65861,3.57,10016771,3/9/21 23:15,29,22.86,0.788275,18.288,13.208,7.112,3/10/21 7:00,3/10/21 7:15,3/10/21 7:30,0.254,0.254,Certain,3/10/21 15:00,0.488911979,3015.476295,39.41992294,30.90094966,20,58,34.5,56,11.32047443,76.74418605,100,Fall/Winter,0,0,0,0.108333333,0.608333333,0.283333333,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",3/10/21,"14900 block of Anderson Way, Silverado, CA",California Geological Survey,Other,Debris flow occurred in the same channel and adjacent debris fan as the 1/28 debris flow. Evidence of increased channel scour and avulsion onto debris fan.,33.7428,-117.634933,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/242/attachments/384,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Silverado_March,IVLC1,33.7433,-117.65861,2.7,10016771,3/9/21 23:15,29,22.86,0.788275,18.288,13.208,7.112,3/10/21 7:00,3/10/21 7:15,3/10/21 7:30,0.254,0.254,Certain,3/10/21 15:00,0.488911979,3015.476295,39.41992294,30.90094966,20,58,39,56,11.32047443,89.88764045,100,Fall/Winter,0,0.021545319,0.05423477,0.132986627,0.18127786,0.190193165,0.260029718,0.15230312,0.007429421,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/25/21,"27500 block of Williams Street, Silverado, CA",California Geological Survey,Road-unpaved,"Post-fire debris originated within Spring Canyon deposited over an approximate distance of a quarter mile downstream, blocking Williams Canyon Road. No access into Williams Canyon from Silverado Canyon.",33.7314,-117.644116,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/239/attachments/381,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Adkins,ADSKIN,33.7290863,-117.6556735,1.3,10016771,1/24/21 21:15,7.25,17.018,2.347310345,11.176,9.652,7.874,1/25/21 3:30,1/25/21 3:30,1/25/21 4:00,1.016,8.89,Certain,1/25/21 11:30,0.343783108,19939.77157,76.6842881,29.63238928,20,57.5,33.5,47,333.9860432,50,77.41935484,Fall/Winter,0,0,0,0.556005398,0.358974359,0.085020243,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/25/21,"28500 block of Pleasant Avenue, Silverado, CA",California Geological Survey,Road-unpaved,Debris from a tributary to Williams Canyon blocked access to upper Williams Canyon. Roadways and horse stables reported to be inundated up to approximately 2-3 feet.,33.7305,-117.632563,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/240/attachments/382,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Adkins,ADSKIN,33.7290863,-117.6556735,2.5,10016771,1/24/21 21:15,7.25,17.018,2.347310345,11.176,9.652,7.874,1/25/21 3:30,1/25/21 3:30,1/25/21 4:00,1.016,8.89,Certain,1/25/21 11:30,0.343783108,19939.77157,76.6842881,29.63238928,20,57.5,32.5,47,333.9860432,51.61290323,77.41935484,Fall/Winter,0,0,0,0.556005398,0.358974359,0.085020243,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",12/14/21,"28832 Silverado Canyon Rd, Silverado, CA, 92676, USA",California Geological Survey,Building-residential,Inundation of residence by debris flow.  Second instance of 2021.,33.7462,-117.6273294,,,6681,Bond,2020,12,2,12/2/20,Silverado_December,LWRSLVRD,33.7429,-117.659,3,10016771,12/14/21 4:00,11.75,78.9939,6.72289,28.4479,27.939,21.844,12/14/21 11:00,12/14/21 11:15,12/14/21 11:15,1.016,1.016,Certain,12/14/21 19:00,0.399950034,27649.51275,2096.574915,27.413786,20,58,34.5,43.5,324.359242,73.21428571,95.45454545,Fall/Winter,0,0,0.023391813,0.307692308,0.360323887,0.256410256,0.052181736,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",12/14/21,"14943 Wildcat Canyon Rd, Silverado, CA, 92676, USA",California Geological Survey,Multiple,Debris flow completely inundates home and property on Wildcat Canyon Road.  Home is red-tagged.,33.7445,-117.619075,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/275/attachments/408,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Silverado_December,LWRSLVRD,33.7429,-117.659,3.7,10016771,12/14/21 4:00,11.75,78.9939,6.72289,28.4479,27.939,21.844,12/14/21 11:00,12/14/21 11:15,12/14/21 11:15,1.016,1.016,Certain,12/14/21 19:00,0.399950034,27649.51275,2096.574915,27.413786,20,58,34.5,43.5,324.359242,73.21428571,95.45454545,Fall/Winter,0.151595745,0.212765957,0.164893617,0.082446809,0.10106383,0.085106383,0.02393617,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/28/21,"28800 block of Silverado Canyon Road, Silverado, CA",California Geological Survey,Multiple,A debris flow impacted a residence and covered Silverado Canyon Road with mud and rock.,33.7462,-117.6273294,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/235/attachments/387,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Silverado,IVLC1,33.7433,-117.65861,3.5,10016771,1/28/21 22:00,21.5,39.37,1.831162791,15.24,14.224,12.192,1/28/21 22:45,1/28/21 22:45,1/28/21 23:00,1.27,1.27,Certain,1/29/21 6:45,0.276446378,63183.35825,47.62834219,28.16075841,20,52,38,43,331.8255512,94.24778761,87.29508197,Fall/Winter,0.116945107,0.081145585,0.095465394,0.07875895,0.109785203,0.114558473,0.107398568,0.071599045,0.076372315,0.014319809,0,0,0
"Reported Landslides Database, California Department of Conservation",1/28/21,"27500 block of Williams Street, Silverado, CA",California Geological Survey,Road-unpaved,Post-fire debris originated in Spring Canyon (at an estimated volume of half of the 1/25/21 debris flow) and blocked Williams Canyon Road. No access into Williams Canyon from Silverado Canyon.,33.7297,-117.646092,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/238/attachments/380,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Adkins,ADSKIN,33.7290863,-117.6556735,1,10016771,1/28/21 21:45,20.5,39.116,1.908097561,23.368,19.812,13.97,1/28/21 22:30,1/28/21 22:30,1/28/21 23:00,1.016,1.016,Certain,1/29/21 6:30,0.286365298,68953.19332,75.88956045,28.11610719,20,56,37.5,43,298.6782087,96.49122807,87.29508197,Fall/Winter,0.114837976,0.114837976,0.177942013,0.223990904,0.281409892,0,0,0,0,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,Merced River Highway 40112,Neptune et al. (2021),,Road Closure,37.6154936,-119.957308,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,1.9,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,35.5,37.5,278.5397424,85.11450382,73.63013699,Fall/Winter,0,0.021545319,0.05423477,0.132986627,0.18127786,0.190193165,0.260029718,0.15230312,0.007429421,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,Highway 140 Midpines312,Neptune et al. (2021),,Partial blockage of flow in bear creek,37.6006,-119.95469,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,1.5,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,32,37.5,278.5397424,71.11111111,73.63013699,Fall/Winter,0.089960887,0.123859192,0.162972621,0.144719687,0.114732725,0.082138201,0.096479791,0.069100391,0.002607562,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,301 Bear Creek,Neptune et al. (2021),,Partial blockage of flow in bear creek,37.60103,-119.95997,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,0.9,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,32,37.5,278.5397424,71.85185185,73.63013699,Fall/Winter,0,0.018559762,0.08908686,0.22345954,0.198960653,0.203414996,0.20861173,0.057906459,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",11/15/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.341545,-120.628775,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.96,25434,11/15/16 18:15,2.5,7.874,3.1496,5.08,5.08,4.318,11/15/16 18:15,11/15/16 18:30,11/15/16 19:00,1.27,1.27,Certain,11/16/16 2:15,0.365703589,7378.502026,59.37088099,18.63546191,10,37.5,23,28,280.2921362,81.81818182,17.85714286,Fall/Winter,0,0,0,0.011627907,0.151162791,0.465116279,0.372093023,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",10/16/16,Jesus Maria Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.285005,-120.648061,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,2.02,25434,10/15/16 19:00,32,76.708,2.397125,51.816,37.084,32.512,10/16/16 18:15,10/16/16 18:15,10/16/16 18:15,5.334,25.908,Certain,10/17/16 1:15,0.275884721,26391.14895,63.58473624,27.96322482,20,53.5,42,49.5,65.80546229,91.83673469,89.61748634,Fall/Winter,0,0,0.023391813,0.307692308,0.360323887,0.256410256,0.052181736,0,0,0,0,0,0
NASA Global Landslide Catalog,10/16/16,Highway 26 about a half-mile east of Montgomery Drive,Calaveras Enterprise,,A 100-foot section of Highway 26 about a half-mile east of Montgomery Drive was closed from 5 p.m. to 11:30 p.m. on Sunday due to a mud slide that a CHP report said was one-and-a-half feet deep.,38.3139,-120.6609,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,4.6,25434,10/15/16 19:00,32,76.708,2.397125,51.816,37.084,32.512,10/16/16 18:15,10/16/16 18:15,10/16/16 18:15,5.334,25.908,Certain,10/17/16 1:15,0.275884721,26391.14895,63.58473624,27.96322482,20,53.5,41,49.5,65.80546229,93.33333333,89.61748634,Fall/Winter,0,0,0.023391813,0.307692308,0.360323887,0.256410256,0.052181736,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",10/15/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.34113,-120.62889,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.98,25434,10/14/16 12:45,60.75,112.522,1.852213992,45.72,39.624,29.972,10/16/16 17:15,10/16/16 17:15,10/16/16 18:30,0.254,0.254,Certain,10/17/16 0:15,0.342278318,35537.85365,247.2317713,27.56557178,20,52,10.5,51,257.7244772,3.6,96.20938628,Fall/Winter,0.151595745,0.212765957,0.164893617,0.082446809,0.10106383,0.085106383,0.02393617,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.3359,-120.630873,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,1.4,25434,3/4/16 14:45,80.5,47.498,0.590037267,23.368,20.32,11.43,3/6/16 0:15,3/6/16 0:30,3/6/16 0:45,1.524,1.524,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,43,52,85.20677448,99.65986395,99.89495798,Fall/Winter,0,0.068627451,0.215686275,0.519607843,0.196078431,0,0,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.341279,-120.628903,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.98,25434,3/4/16 14:45,80.5,47.498,0.590037267,23.368,20.32,11.43,3/6/16 0:15,3/6/16 0:30,3/6/16 0:45,1.524,1.524,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,42,52,85.20677448,99.65831435,99.89495798,Fall/Winter,0,0.068627451,0.215686275,0.519607843,0.196078431,0,0,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Jesus Maria Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.285033,-120.648208,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,2.01,25434,3/4/16 14:00,68.25,102.362,1.499809524,37.592,29.464,17.272,3/6/16 0:15,3/6/16 0:15,3/6/16 0:45,0.254,0.254,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,46,52,85.20677448,100,99.89539749,Fall/Winter,0,0,0,0,0.235294118,0.696078431,0.068627451,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Hawver Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.280241,-120.671884,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,0.24,25434,3/4/16 14:00,68.25,102.362,1.499809524,37.592,29.464,17.272,3/6/16 0:15,3/6/16 0:15,3/6/16 0:45,0.254,0.254,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,40,52,85.20677448,98.50574713,99.89539749,Fall/Winter,0,0,0,0.207852194,0.508083141,0.122401848,0.152424942,0.009237875,0,0,0,0,0
