Repository,EVENT_DATE,NEAREST_PL,INFO_SOURC,IMPACTS,DAMAGE_DES,LAT,LONG,GlobalID,PHOTO_CRED,Acres,FireName,StartYear,StartMonth,StartDay,StartDate,RainGauge,Station ID,LAT_Rg,LON_Rg,Distance_km,FireMap_ID,Storm_StartDate,Storm_Duration,Storm_Accum,Storm_AvgIntensity,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_Date,Peak_I30_Date,Peak_I60_Date,CummRain_24h,CummRain_48h,Certainty,reg_datetime_t1,eccentricity,area_km,speed_km_h,PSmean_dbz,PSmin_dbz,PSmax_dbz,reflect_pfdf,maxfiredbz_peak15,direction,percentile_dbzval,percentile_firemax,Season,fract10-15,fract15-20,fract20-25,fract25-30,fract30-35,fract35-40,fract40-45,fract45-50,fract50-55,fract55-60,fract60-65,fract65-70,fract>70
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",12/16/16,Van Tassel Monitoring Site,Rengers et al. (2021); https://doi.org/10.1029/2020JF006053 ,,Observation from USGS inventory,34.158975,-117.934988,,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.91,10005354,12/15/16 17:20,17.583,46.736,2.6579,20.319,19.3039,14.2239,12/16/16 3:50,12/16/16 3:55,12/16/16 4:00,0.254,0.254,Certain,12/16/16 11:45,0.874469804,5166.000796,24.53097907,27.98697622,20,42.5,32,40,208.789133,83.08823529,91.54929577,Fall/Winter,0,0.018559762,0.08908686,0.22345954,0.198960653,0.203414996,0.20861173,0.057906459,0,0,0,0,0
Staley et al. (2018),12/16/16,"Las Lomas Canyon, Duarte",Staley et al. (2018),,"Monitoring data from this location recorded flow stage and rainfall rates for 29 storm events, 5 of which generated debris flows: 16 December 2016, 23 December 2016, 11 January 2017, 20 January 2017 and
17 February 2017.",34.1549,-117.945436,,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.57,10005354,12/15/16 17:20,17.583,46.736,2.6579,20.319,19.3039,14.2239,12/16/16 3:50,12/16/16 3:55,12/16/16 4:00,0.254,0.254,Certain,12/16/16 11:45,0.874469804,5166.000796,24.53097907,27.98697622,20,42.5,40,40,208.789133,98.50746269,91.54929577,Fall/Winter,0.055441478,0.203285421,0.439425051,0.293634497,0,0,0,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",1/20/17,Van Tassel Monitoring Site,Michel et al. (2019); http://dx.doi.org/10.25676/11124/173224 ; Rengers et al. (2021); https://doi.org/10.1029/2020JF006053 ,,Observation from USGS inventory,34.158975,-117.934988,,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.91,10005354,1/19/17 20:55,17.66,52.069,2.9473,24.383,19.81,16.002,1/20/17 12:45,1/20/17 12:45,1/22/17 12:50,17.018,17.78,Certain,1/20/17 20:45,0.529884593,61677.92951,81.78949096,29.51710151,20,62.5,43,45.5,14.23093081,99.13043478,95.33898305,Fall/Winter,0.103211009,0.300458716,0.135321101,0.139908257,0.004587156,0.107798165,0.082568807,0.020642202,0,0,0,0,0
Staley et al. (2018),1/20/17,"Las Lomas Canyon, Duarte",Staley et al. (2018),,"After the fire, the USGS installed an automated rain-triggered camera to monitor post-wildfire flooding and debris flow in a small canyon above the Las Lomas debris basin in Duarte. This video shows the peak flow triggered by an intense rainstorm",34.1549,-117.945436,https://www.youtube.com/watch?v=OTuHQOHjC6Q,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.57,10005354,1/19/17 20:55,17.66,52.069,2.9473,24.383,19.81,16.002,1/20/17 12:45,1/20/17 12:45,1/22/17 12:50,17.018,17.78,Certain,1/20/17 20:45,0.529884593,61677.92951,81.78949096,29.51710151,20,62.5,44,45.5,14.23093081,100,95.33898305,Fall/Winter,0.103211009,0.300458716,0.135321101,0.139908257,0.004587156,0.107798165,0.082568807,0.020642202,0,0,0,0,0
Staley et al. (2018),12/24/16,"Las Lomas Canyon, Duarte",Staley et al. (2018),,"Monitoring data from this location recorded flow stage and rainfall rates for 29 storm events, 5 of which generated debris flows: 16 December 2016, 23 December 2016, 11 January 2017, 20 January 2017 and
17 February 2017.",34.1549,-117.945436,,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.57,10005354,12/23/16 19:30,14.16,32.51,2.294,4.0639,4.064,4.0639,12/23/16 23:15,12/24/16 1:15,12/24/16 0:50,0.508,16.509,Certain,12/24/16 7:15,0.395015073,66575.11475,571.3682329,29.64958975,20,55.5,43.5,43.5,234.3936368,98.75,81.03448276,Fall/Winter,0.116945107,0.081145585,0.095465394,0.07875895,0.109785203,0.114558473,0.107398568,0.071599045,0.076372315,0.014319809,0,0,0
Staley et al. (2018),2/18/17,"Las Lomas Canyon, Duarte",Staley et al. (2018),,"Monitoring data from this location recorded flow stage and rainfall rates for 29 storm events, 5 of which generated debris flows: 16 December 2016, 23 December 2016, 11 January 2017, 20 January 2017 and
17 February 2017.",34.1549,-117.945436,,,4246,Fish,2016,6,20,6/20/16,Duarte,C8508,34.15167,-117.94967,0.57,10005354,2/17/17 9:25,28.583,67.818,2.37264,35.56,30.988,20.828,2/17/17 17:50,2/17/17 18:00,2/17/17 18:15,0.254,0.254,Certain,2/18/17 1:50,0.564662112,112242.3524,340.6902812,29.93320321,20,59.5,48,53.5,293.1648774,99.71590909,100,Fall/Winter,0.040224509,0.043966324,0.090739008,0.115996258,0.100093545,0.096351731,0.15434986,0.100093545,0.160898036,0.077642657,0.001870907,0,0
"Guilinger et al. (2020), doi/10.1029/2020JF005527",1/12/19,Leach Canyon,Guilinger et al. (2020),,Figure 2 indicates debris flow activity,33.6781,-117.4175707,,,23025,Holy,2018,8,6,8/6/18,ElCariso,ELOC1,33.625,-117.41167,7.1,10013013,1/12/19 3:30,15,33.528,2.2352,54.864,29.464,15.748,1/12/19 3:45,1/12/19 3:45,1/12/19 4:00,5.08,5.08,Certain,1/12/19 11:45,0.375687771,35591.42684,26.03528833,30.24428997,20,53.5,30.5,43.5,340.4724208,74.62686567,85.61643836,Fall/Winter,0.054298643,0.07239819,0.049773756,0.061085973,0.104072398,0.237556561,0.165158371,0.160633484,0.031674208,0.009049774,0,0,0
"Guilinger et al. (2020), doi/10.1029/2020JF005527",2/14/19,Leach Canyon,Guilinger et al. (2020),,,33.6781,-117.4175707,https://news.ucr.edu/articles/2020/10/22/wildfires-can-cause-dangerous-debris-flows,,23025,Holy,2018,8,6,8/6/18,ElCariso,ELOC1,33.625,-117.41167,7.1,10013013,2/13/19 12:50,34.5,139.954,4.056637681,28.448,19.812,16.002,2/14/19 12:00,2/14/19 7:25,2/14/19 7:25,1.016,1.016,Certain,2/14/19 20:00,0.55694567,113442.015,32.71100368,28.08033805,20,59,39.5,46,143.5417046,98.02955665,98.53658537,Fall/Winter,0.044911413,0.094561187,0.100123609,0.228883395,0.18500206,0.173259168,0.110012361,0.015039143,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",9/11/22,"Approximately 4 miles southwest of Lake Hughes, CA on the north side of Lake Hughes Road.",,Road-paved,A debris flow inundated Lake Hughes Road.,34.6447,-118.509712,,,30999,Lake,2020,8,12,8/12/20,WarmSprings,WSCC1,34.60778,-118.561,7.6,10020788,9/11/22 20:00,6.833333333,4.064,0.594731707,5.08,4.064,3.048,9/11/22 20:25,9/11/22 20:35,9/11/22 21:10,0.254,1.778,Certain,9/12/22 3:25,0.612892306,6298.536466,30.96603348,32.70933757,20,61.5,38,50.5,184.4965414,63.88888889,63.15789474,Spring/Summer,0,0,0,0.011627907,0.151162791,0.465116279,0.372093023,0,0,0,0,0,0
Schwartz et al (2021),1/20/17,El Capitan Creek,Schwartz et al (2021),,"The flooding and debris flows damaged buildings, property, and infrastructure in the El Capital Canyon Resort, El Capitan State Beach, and an oil and gas facility located in Canada del Corral.",34.4779,-120.0202831,,,7466,Sherpa,2016,6,15,6/15/16,ElCapitan,CPT01,34.4625,-120.0258,2.1,10005323,1/20/17 0:41,19.93333333,52.324,2.624949833,23.368,20.32,17.526,1/20/17 8:30,1/20/17 8:30,1/20/17 9:00,22.606,27.178,Certain,1/20/17 16:30,0.230940348,89753.60577,1630.201028,28.76982455,20,58.5,33.5,38,118.7893707,81.86813187,79.12087912,Fall/Winter,0,0,0.006779661,0.096610169,0.138983051,0.310169492,0.310169492,0.13220339,0.005084746,0,0,0,0
Schwartz et al (2021),1/20/17,Canada del Coral and Las Flores Canyon,Schwartz et al (2021),,"The flooding and debris flows damaged buildings, property, and infrastructure in the El Capital Canyon Resort, El Capitan State Beach, and an oil and gas facility located in Canada del Corral.",34.4726,-120.0443609,,,7466,Sherpa,2016,6,15,6/15/16,ElCapitan,CPT01,34.4625,-120.0258,2.5,10005323,1/20/17 0:41,19.93333333,52.324,2.624949833,23.368,20.32,17.526,1/20/17 8:30,1/20/17 8:30,1/20/17 9:00,22.606,27.178,Certain,1/20/17 16:30,0.230940348,89753.60577,1630.201028,28.76982455,20,58.5,35.5,38,118.7893707,91.75824176,79.12087912,Fall/Winter,0,0,0,0.012987013,0.668831169,0.318181818,0,0,0,0,0,0,0
McGuire et al. (2018),9/15/15,Last mile of Silverado Canyon Road before the two-lane road ends at the Maple Springs trailhead,U.S. Forest Service,,"Silverado Canyon has already experienced several debris flows, including the July 19, 2015 storm, and September 15, 2015 in which 2 inches of rain caused three mudslides including a 4-foot-deep debris flow that covered Silverado Canyon Road.",33.7456,-117.5855765,https://www.fs.usda.gov/detail/cleveland/news-events/?cid=STELPRD3856898,,959,Silverado,2014,9,12,9/12/14,LowerSilverado,LWRSLVRD,33.7429,-117.659,0.05,2873,9/15/15 5:15,23.5,55.1179,2.34544,27.432,25.908,22.098,9/15/15 7:30,9/15/15 7:30,9/15/15 7:45,3.047,3.0479,Certain,9/15/15 14:30,0.642803099,12356.27823,23.29943703,26.65363337,20.5,43,35,39,109.576133,94.28571429,97.14285714,Spring/Summer,0,0,0.005063291,0.056962025,0.192405063,0.352531646,0.251898734,0.103797468,0.034810127,0.002531646,0,0,0
McGuire et al. (2018),7/19/15,Silverado Canyon,USGS,,"This video shows the initial surge and peak flow triggered by an intense rainstorm on July 19, 2015. The peak flow occured about 3 minutes after the intial surge.",33.7559,-117.593844,https://www.youtube.com/watch?v=VwPnKCx2SNM,,959,Silverado,2014,9,12,9/12/14,UpperSilverado,USUSGS,33.76085,-117.588,0.1,2873,7/18/15 20:26,35.51666667,38.80002095,1.092445451,33.60001814,24.40001318,15.40000832,7/19/15 23:58,7/19/15 23:59,7/20/15 0:05,0.200000108,0.200000108,Certain,7/20/15 7:00,0.52546223,36014.51112,29.5960874,27.18005301,20.5,50,42,45,61.61437445,97.6744186,100,Spring/Summer,0.054298643,0.07239819,0.049773756,0.061085973,0.104072398,0.237556561,0.165158371,0.160633484,0.031674208,0.009049774,0,0,0
"Reported Landslides Database, California Department of Conservation",7/30/21,3.75 miles up Golden Gate Road from Highway 395,"Tim Bardsley, NOAA, Scott W. McCoy, UNR",Road-unpaved,"Large debris flows covered Golden Gate Road with mud, rock, and debris rendering it impassable.",38.5135,-119.540778,,,26752,Slink,2020,8,29,8/29/20,Walker10min,LIB06,38.53392,-119.50416,4.6,10020817,7/30/21 16:10,2.5,8.128,3.2512,28.448,14.224,7.112,7/30/21 17:20,7/30/21 17:20,7/30/21 17:20,0.762,0.762,Certain,7/31/21 0:20,0.208264819,2112.269103,79.66870092,31.39045885,20,53.5,24.5,51,198.1924776,31.25,90.90909091,Spring/Summer,0,0,0.012903226,0.064516129,0.335483871,0.24516129,0.309677419,0.032258065,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",7/30/21,"3 miles SW of Coleville, CA","Tim Bardsley, NOAA, Scott McCoy, UNR",Road-unpaved,Debris flows appear to have run out approximately ?? mile or more from sources on the west side of Slinkard Valley.,38.5534,-119.559951,,,26752,Slink,2020,8,29,8/29/20,Walker10min,LIB06,38.53392,-119.50416,6.5,10020817,7/30/21 16:10,2.5,8.128,3.2512,28.448,14.224,7.112,7/30/21 17:20,7/30/21 17:20,7/30/21 17:20,0.762,0.762,Certain,7/31/21 0:20,0.208264819,2112.269103,79.66870092,31.39045885,20,53.5,41.5,51,198.1924776,96.875,90.90909091,Spring/Summer,0,0,0.012903226,0.064516129,0.335483871,0.24516129,0.309677419,0.032258065,0,0,0,0,0
NASA Global Landslide Catalog,10/31/14,Camarillo Springs,CNN,,"One man was trapped inside a house that was surrounded by mud, but he was later found safe.",34.1972,-118.9815,https://www.cnn.com/2014/11/01/us/california-mudslide/index.html,,23676,Springs,2013,5,2,5/2/13,NewburyPark,D1941,34.1911,-118.95639,2.9,20669,10/31/14 22:33,9.266666667,13.716,1.480143885,21.336,17.272,11.43,10/31/14 23:18,10/31/14 23:18,10/31/14 23:18,1.016,1.016,Certain,11/1/14 6:20,0.24805458,72426.54904,59.75663281,28.55458928,20.5,51,27.5,36,86.98542519,26.47058824,32.35294118,Fall/Winter,0,0,0,0,0,0,0.107843137,0.539215686,0.352941176,0,0,0,0
"Oakley et al. (2017), NASA Global Landslide Catalog",12/12/14,San Como Lane in Camarillo Springs,National Weather Service,,Major mud and debris flows,34.1965,-118.9801,https://abc7.com/camarillo-springs-mudslide-storm-evacuations/433225/,,23676,Springs,2013,5,2,5/2/13,NewburyPark,D1941,34.1911,-118.95639,2.24,20669,12/11/14 21:45,11.01666667,45.974,4.173131619,33.528,27.432,19.05,12/12/14 2:31,12/12/14 2:31,12/12/14 2:46,0.508,0.508,Certain,12/12/14 10:30,0.412343116,172994.194,22.46526901,28.85058445,20.5,53,28.5,50,333.0300219,61.64383562,89.18918919,Fall/Winter,0,0,0,0.03030303,0.303030303,0.303030303,0.363636364,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",8/3/22,"Postmile 15.2, Highway 89, Alpine County",Caltrans District 10,Road-paved,A debris flow damaged Highway 89 resulting in long,38.6991,-119.783492,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/305/attachments/439,,67055,Tamarack,2021,7,4,7/4/21,MarkLeeVille,LIB28,38.69462,-119.78068,0.66,10020651,8/3/22 15:00,1.5,63.5,42.33333333,92.456,63.5,56.388,8/3/22 15:50,8/3/22 15:50,8/3/22 16:10,1.27,1.27,Certain,8/3/22 22:50,0.744978072,1556.190914,23.51294099,31.7309901,20,60.5,53,60.5,81.65638978,85,85,Spring/Summer,0.052238806,0.074626866,0.194029851,0.134328358,0.156716418,0.141791045,0.134328358,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",8/3/22,"880 Hot Springs Road, Markleeville, CA",,Road-paved,A debris flow covered Hot Springs Road resulting in closure.,38.6919,-119.804594,,,67055,Tamarack,2021,7,4,7/4/21,MarkLeeVille,LIB28,38.69462,-119.78068,0.66,10020651,8/3/22 15:00,1.5,63.5,42.33333333,92.456,63.5,56.388,8/3/22 15:50,8/3/22 15:50,8/3/22 16:10,1.27,1.27,Certain,8/3/22 22:50,0.744978072,1556.190914,23.51294099,31.7309901,20,60.5,54,60.5,81.65638978,90,85,Spring/Summer,0,0.006451613,0.109677419,0.283870968,0.290322581,0.122580645,0.15483871,0.012903226,0,0.019354839,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",1/9/18,Santa Barbara Coastal Plain,Swanson et al. (2022); https://doi.org/10.2113/EEG-D-21-00026 ,,,34.453728,-119.591231,,,281982,Thomas,2017,12,4,12/4/17,Doulton,22150,34.45778,-119.56583,2.9,10008148,1/8/18 12:08,26.68333333,90.678,3.398301062,102.616,61.976,38.862,1/9/18 4:02,1/9/18 4:13,1/9/18 4:41,0.254,0.254,Certain,1/9/18 12:00,0.556723083,73298.58303,29.76500635,29.77999983,20,62,36.5,51,25.67830636,97.95454545,95.47038328,Fall/Winter,0,0,0,0,0.009803922,0.166666667,0.774509804,0.049019608,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",1/9/18,Juncal/Santa Ynez,Swanson et al. (2022); https://doi.org/10.2113/EEG-D-21-00026 ,,,34.494242,-119.534352,,,281982,Thomas,2017,12,4,12/4/17,Jameson,22133,34.49083,-119.50694,3.1,10008148,1/8/18 12:08,25.23333333,92.202,3.653976222,99.568,64.008,37.846,1/9/18 4:10,1/9/18 4:23,1/9/18 4:48,0.254,0.254,Certain,1/9/18 12:10,0.544519623,75447.56792,12.34426671,29.0265466,20,55,38.5,49.5,114.5490237,97.74774775,90.18867925,Fall/Winter,0,0,0,0,0.009803922,0.166666667,0.774509804,0.049019608,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",1/9/18,Santa Barbara Coastal Plain,Swanson et al. (2022); https://doi.org/10.2113/EEG-D-21-00026 ,,,34.482898,-119.680206,,,281982,Thomas,2017,12,4,12/4/17,KTDY,22134,34.47111,-119.67694,1.6,10008148,1/8/18 12:24,27.98333333,80.772,2.8864324,78.232,44.196,27.94,1/9/18 3:48,1/9/18 3:58,1/9/18 4:26,0.254,0.254,Certain,1/9/18 11:50,0.384951054,88331.31587,67.80736934,30.22171734,20,61,32,53,69.12159818,82.88888889,98.07692308,Fall/Winter,0,0,0,0.378752887,0.54965358,0.066974596,0.004618938,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",11/29/18,State Route 38 PM 15,"Caltrans District 8, SB Sun Newspaper",pr,Debris and mud on roadway emanating from slopes adjacent to north side of Valley of the Falls Drive,34.0956,-116.949452,,,1250,Valley,2018,7,6,7/6/18,"Mill Creek, Angelus Oak*",FFPC1,34.09028,-116.9366,1.62,10012984,11/29/18 2:45,26.75,88.9,3.323364486,15.24,14.224,13.97,11/29/18 10:45,11/29/18 9:45,11/29/18 10:00,0.508,0.508,Certain,11/29/18 18:45,0.580012678,15758.19615,69.11352892,26.42588323,20,48,42.5,42.5,334.4448483,98.41269841,93.65079365,Fall/Winter,0,0,0.007197481,0.689608637,0.300494827,0.002699055,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",11/29/18,State Route 38 PM 15.5 to PM 16,Caltrans District 8,Road-paved,Debris on roadway appears to originate from Frustration Creek drainage and adjacent debris slide slopes.,34.1016,-116.965679,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/47/attachments/358,Scott Swift,1250,Valley,2018,7,6,7/6/18,"Mill Creek, Angelus Oak*",FFPC1,34.09028,-116.9366,1.62,10012984,11/29/18 2:45,26.75,88.9,3.323364486,15.24,14.224,13.97,11/29/18 10:45,11/29/18 9:45,11/29/18 10:00,0.508,0.508,Certain,11/29/18 18:45,0.580012678,15758.19615,69.11352892,26.42588323,20,48,40.5,42.5,334.4448483,96.03174603,93.65079365,Fall/Winter,0,0,0,0.556005398,0.358974359,0.085020243,0,0,0,0,0,0,0